order_id,account_id,company,status,currency,subtotal,tax,total,created_at
1,27611,"Boone, Gallagher and Scott",paid,EUR,3368.15,673.63,4041.78,2026-03-03T20:10:48.453116Z
2,17412,Miller and Sons,paid,USD,12784.0,894.88,13678.88,2026-03-03T20:10:48.462902Z
3,41190,"Stephens, Wood and Munoz",paid,USD,5175.08,362.26,5537.34,2026-03-03T20:10:48.467938Z
4,40939,Garcia-Foster,paid,GBP,0.96,0.19,1.15,2026-03-03T20:11:43.080930Z
5,91644,Harmon-Pope,paid,GBP,1791.0,358.2,2149.2,2026-03-03T20:11:43.024032Z
6,85211,Washington LLC,invoiced,EUR,21849.0,4369.8,26218.8,2026-03-03T20:10:48.446357Z
7,52445,Foster Inc,invoiced,EUR,0.83,0.17,1.0,2026-03-03T20:10:48.439056Z
8,39714,Rivers-Martinez,confirmed,USD,7964.0,557.48,8521.48,2026-03-03T20:10:48.448232Z
9,70687,"Brooks, Taylor and Delacruz",paid,GBP,1.08,0.22,1.3,2026-03-03T20:10:48.450552Z
10,84894,Patterson PLC,created,USD,5148.0,360.36,5508.36,2026-03-03T20:10:48.406455Z
11,69294,"Vincent, Harrington and Hayes",created,USD,1.04,0.07,1.11,2026-03-03T20:11:43.151777Z
12,72202,Sandoval-Estrada,confirmed,USD,2085.0,145.95,2230.95,2026-03-03T20:10:48.435732Z
13,43948,Jennings-Sutton,invoiced,EUR,2.56,0.51,3.07,2026-03-03T20:10:48.424127Z
14,24002,"Park, Pearson and Bentley",created,EUR,38352.41,7670.48,46022.89,2026-03-03T20:10:48.432874Z
15,37391,Boyd Inc,created,GBP,46318.0,9263.6,55581.6,2026-03-03T20:10:48.415642Z
16,57385,Castillo-Butler,invoiced,USD,15182.92,1062.8,16245.72,2026-03-03T20:10:48.430068Z
17,78417,Roman-Horne,confirmed,GBP,0.23,0.05,0.28,2026-03-03T20:10:48.409471Z
18,33758,Stanley LLC,confirmed,USD,15549.0,1088.43,16637.43,2026-03-03T20:11:49.604654Z
19,98752,Glover PLC,created,USD,3980.5,278.64,4259.14,2026-03-03T20:10:48.411428Z
